"Mineral Name","IMA Chemistry (plain)","IMA Chemistry (concise)"
"Abellaite","NaPb2(CO3)2(OH)","NaPb_2_(CO_3_)_2_(OH)"
"Abelsonite","NiC31H32N4","NiC_31_H_32_N_4_"
"Abenakiite-(Ce)","Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O","Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O"
"Abernathyite","K(UO2)(AsO4)·3H2O","K(UO_2_)(AsO_4_)·3H_2_O"
"Abhurite","Sn2+21O6(OH)14Cl16","Sn^2+^_21_O_6_(OH)_14_Cl_16_"
"Abramovite","Pb2SnInBiS7","Pb_2_SnInBiS_7_"
"Abswurmbachite","Cu2+Mn3+6O8(SiO4)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)"
"Abuite","CaAl2(PO4)2F2","CaAl_2_(PO_4_)_2_F_2_"
"Acanthite","Ag2S","Ag_2_S"
"Acetamide","CH3CONH2","CH_3_CONH_2_"
"Achalaite","Fe2+TiNb2O8","Fe^2+^TiNb_2_O_8_"
"Achávalite","FeSe","FeSe"
"Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_"
"Acmonidesite","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_"
"Actinolite","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_"
"Acuminite","SrAlF4(OH)·H2O","SrAlF_4_(OH)·H_2_O"
"Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)"
"Adamite","Zn2(AsO4)(OH)","Zn_2_(AsO_4_)(OH)"
"Adamsite-(Y)","NaY(CO3)2·6H2O","NaY(CO_3_)_2_·6H_2_O"
"Adanite","Pb2(Te4+O3)(SO4)","Pb_2_(Te^4+^O_3_)(SO_4_)"
"Addibischoffite","Ca2Al6Al6O20","Ca_2_Al_6_Al_6_O_20_"
"Adelite","CaMg(AsO4)(OH)","CaMg(AsO_4_)(OH)"
"Admontite","MgB6O10·7H2O","MgB_6_O_10_·7H_2_O"
"Adolfpateraite","K(UO2)(SO4)(OH)(H2O)","K(UO_2_)(SO_4_)(OH)(H_2_O)"
"Adranosite","(NH4)4NaAl2(SO4)4Cl(OH)2","(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_"
"Adranosite-(Fe)","(NH4)4NaFe2(SO4)4Cl(OH)2","(NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_"
"Adrianite","Ca12(Al4Mg3Si7)O32Cl6","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_"
"Aegirine","NaFe3+Si2O6","NaFe^3+^Si_2_O_6_"
"Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_"
"Aenigmatite","Na4[Fe2+10Ti2]O4[Si12O36]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]"
"Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O"
"Aerugite","Ni8.5(AsO4)2As5+O8","Ni_8.5_(AsO_4_)_2_As^5+^O_8_"
"Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_"
"Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_"
"Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_"
"Afghanite","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_"
"Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O"
"Afwillite","Ca3[SiO4][SiO2(OH)2]·2H2O","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O"
"Agaite","Pb3Cu2+Te6+O5(OH)2(CO3)","Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)"
"Agakhanovite-(Y)","YCa[box]2KBe3Si12O30","YCa[box]_2_KBe_3_Si_12_O_30_"
"Agardite-(Ce)","CeCu2+6(AsO4)3(OH)6·3H2O","CeCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(La)","LaCu2+6(AsO4)3(OH)6·3H2O","LaCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(Nd)","NdCu2+6(AsO4)3(OH)6·3H2O","NdCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agardite-(Y)","YCu2+6(AsO4)3(OH)6·3H2O","YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O"
"Agmantinite","Ag2MnSnS4","Ag_2_MnSnS_4_"
"Agrellite","NaCa2Si4O10F","NaCa_2_Si_4_O_10_F"
"Agricolaite","K4(UO2)(CO3)3","K_4_(UO_2_)(CO_3_)_3_"
"Agrinierite","K2Ca[(UO2)3O3(OH)2]2·5H2O","K_2_Ca[(UO_2_)_3_O_3_(OH)_2_]_2_·5H_2_O"
"Aguilarite","Ag4SeS","Ag_4_SeS"
"Aheylite","Fe2+Al6(PO4)4(OH)8·4H2O","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O"
"Ahlfeldite","Ni(SeO3)·2H2O","Ni(SeO_3_)·2H_2_O"
"Ahrensite","SiFe2O4","SiFe_2_O_4_"
"Aikinite","CuPbBiS3","CuPbBiS_3_"
"Aiolosite","Na2(Na2Bi)(SO4)3Cl","Na_2_(Na_2_Bi)(SO_4_)_3_Cl"
"Airdite","Sr(V4+O)2(PO4)2·4H2O","Sr(V^4+^O)_2_(PO_4_)_2_·4H_2_O"
"Ajoite","K3Cu2+20Al3Si29O76(OH)16·8H2O","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O"
"Akaganeite","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O"
"Akaogiite","TiO2","TiO_2_"
"Akatoreite","Mn2+9Al2Si8O24(OH)8","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_"
"Akdalaite","Al10O14(OH)2","Al_10_O_14_(OH)_2_"
"Åkermanite","Ca2MgSi2O7","Ca_2_MgSi_2_O_7_"
"Akhtenskite","MnO2","MnO_2_"
"Akimotoite","MgSiO3","MgSiO_3_"
"Aklimaite","Ca4[Si2O5(OH)2](OH)4·5H2O","Ca_4_[Si_2_O_5_(OH)_2_](OH)_4_·5H_2_O"
"Akopovaite","Al4Li2(OH)12(CO3)(H2O)3","Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_"
"Akrochordite","MnMn2Mn2(AsO4)2(OH)4(H2O)4","MnMn_2_Mn_2_(AsO_4_)_2_(OH)_4_(H_2_O)_4_"
"Aksaite","MgB6O7(OH)6·2H2O","MgB_6_O_7_(OH)_6_·2H_2_O"
"Aktashite","Cu6Hg3As4S12","Cu_6_Hg_3_As_4_S_12_"
"Alabandite","MnS","MnS"
"Alacránite","As8S9","As_8_S_9_"
"Alamosite","PbSiO3","PbSiO_3_"
"Alarsite","Al(AsO4)","Al(AsO_4_)"
"Albertiniite","Fe2+(SO3)·3H2O","Fe^2+^(SO_3_)·3H_2_O"
"Albite","Na(AlSi3O8)","Na(AlSi_3_O_8_)"
"Albrechtschraufite","MgCa4F2[UO2(CO3)3]2·17-18H2O","MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O"
"Alburnite","Ag8GeTe2S4","Ag_8_GeTe_2_S_4_"
"Alcantarillaite","[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7]","[Fe^3+^_0.5_(H_2_O)_4_][CaAs^3+^_2_(Fe^3+^_2.5_W^6+^_0.5_)(AsO_4_)_2_O_7_]"
"Alcaparrosaite","K3Ti4+Fe3+(SO4)4O(H2O)2","K_3_Ti^4+^Fe^3+^(SO_4_)_4_O(H_2_O)_2_"
"Aldermanite","[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O","[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O"
"Aldomarinoite","Sr2Mn3+(AsO4)2(OH)","Sr_2_Mn^3+^(AsO_4_)_2_(OH)"
"Aldridgeite","(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O","(Cd,Ca)(Cu,Zn)_4_(SO_4_)_2_(OH)_6_·3H_2_O"
"Aleksandrovite","KCa7Sn2Li3Si12O36F2","KCa_7_Sn_2_Li_3_Si_12_O_36_F_2_"
"Aleksite","PbBi2Te2S2","PbBi_2_Te_2_S_2_"
"Aleutite","[Cu5O2](AsO4)(VO4)·(Cu0.5[box]0.5)Cl","[Cu_5_O_2_](AsO_4_)(VO_4_)·(Cu_0.5_[box]_0.5_)Cl"
"Alexkhomyakovite","K6(Ca2Na)(CO3)5Cl·6H2O","K_6_(Ca_2_Na)(CO_3_)_5_Cl·6H_2_O"
"Alexkuznetsovite-(Ce)","Ce2Mn(CO3)(Si2O7)","Ce_2_Mn(CO_3_)(Si_2_O_7_)"
"Alexkuznetsovite-(La)","La2Mn(CO3)(Si2O7)","La_2_Mn(CO_3_)(Si_2_O_7_)"
"Alflarsenite","NaCa2Be3Si4O13(OH)·2H2O","NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O"
"Alforsite","Ba5(PO4)3Cl","Ba_5_(PO_4_)_3_Cl"
"Alfredcasparite","Sr2TiO(Si2O7)","Sr_2_TiO(Si_2_O_7_)"
"Alfredopetrovite","Al2(Se4+O3)3·6H2O","Al_2_(Se^4+^O_3_)_3_·6H_2_O"
"Alfredstelznerite","Ca4(H2O)4[B4O4(OH)6]4(H2O)15","Ca_4_(H_2_O)_4_[B_4_O_4_(OH)_6_]_4_(H_2_O)_15_"
"Algodonite","Cu1-xAsx (x ≈ 0.15)","Cu_1-x_As_x_ (x ≈ 0.15)"
"Alicewilsonite-(YCe)","Na2Sr2YCe(CO3)6·3H2O","Na_2_Sr_2_YCe(CO_3_)_6_·3H_2_O"
"Alicewilsonite-(YLa)","Na2Sr2YLa(CO3)6·3H2O","Na_2_Sr_2_YLa(CO_3_)_6_·3H_2_O"
"Aliettite","Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O"
"Allabogdanite","(Fe,Ni)2P","(Fe,Ni)_2_P"
"Allactite","Mn2+7(AsO4)2(OH)8","Mn^2+^_7_(AsO_4_)_2_(OH)_8_"
"Allanite-(Ce)","CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH)","CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanite-(La)","CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH)","CaLa(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanite-(Nd)","CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH)","CaNd(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanite-(Y)","CaY(Al2Fe2+)[Si2O7][SiO4]O(OH)","CaY(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Allanpringite","Fe3+3(PO4)2(OH)3·5H2O","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O"
"Allantoin","C4H6N4O3","C_4_H_6_N_4_O_3_"
"Allargentum","Ag1-xSbx (x ≈ 0.09-0.16)","Ag_1-x_Sb_x_ (x ≈ 0.09-0.16)"
"Alleghanyite","Mn2+5(SiO4)2(OH)2","Mn^2+^_5_(SiO_4_)_2_(OH)_2_"
"Allendeite","Sc4Zr3O12","Sc_4_Zr_3_O_12_"
"Allochalcoselite","Cu1+Cu2+5PbO2(SeO3)2Cl5","Cu^1+^Cu^2+^_5_PbO_2_(SeO_3_)_2_Cl_5_"
"Alloclasite","CoAsS","CoAsS"
"Allophane","Al2O3(SiO2)1.3-2.0·2.5-3.0H2O","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O"
"Alloriite","(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4","(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(SO_4_)_4_(SO_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_"
"Alluaivite","Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O","Na_19_(Ca,Mn^2+^)_6_(Ti,Nb)_3_Si_26_O_74_Cl·2H_2_O"
"Alluaudite","[box]NaMnFe3+2(PO4)3","[box]NaMnFe^3+^_2_(PO_4_)_3_"
"Almandine","Fe2+3Al2(SiO4)3","Fe^2+^_3_Al_2_(SiO_4_)_3_"
"Almarudite","K([box],Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30","K([box],Na)_2_(Mn,Fe,Mg)_2_[(Be,Al)_3_Si_12_]O_30_"
"Almeidaite","PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2","PbZn_2_(Mn,Y)(Ti,Fe^3+^)_18_O_36_(OH,O)_2_"
"Alnaperbøeite-(Ce)","(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2","(CaCe_2.5_Na_0.5_)(Al_4_)(Si_2_O_7_)(SiO_4_)_3_O(OH)_2_"
"Alpeite","Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6","Ca_4_Mn^3+^_2_Al_2_(Mn^3+^Mg)(SiO_4_)_2_(Si_3_O_10_)(VO_4_)(OH)_6_"
"Alpersite","Mg(SO4)·7H2O","Mg(SO_4_)·7H_2_O"
"Alsakharovite-Zn","NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O","NaSrKZn(Ti,Nb)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O"
"Alstonite","BaCa(CO3)2","BaCa(CO_3_)_2_"
"Altaite","PbTe","PbTe"
"Alterite","Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O","Zn_2_Fe^3+^_4_(SO_4_)_4_(C_2_O_4_)_2_(OH)_4_·17H_2_O"
"Althausite","Mg4(PO4)2(OH,O)(F,[box])","Mg_4_(PO_4_)_2_(OH,O)(F,[box])"
"Althupite","AlTh(UO2)7(PO4)4O2(OH)5·15H2O","AlTh(UO_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O"
"Altisite","Na3K6Ti2Al2Si8O26Cl3","Na_3_K_6_Ti_2_Al_2_Si_8_O_26_Cl_3_"
"Aluminite","Al2(SO4)(OH)4·7H2O","Al_2_(SO_4_)(OH)_4_·7H_2_O"
"Aluminium","Al","Al"
"Aluminoceladonite","K(Mg,Fe2+)Al(Si4O10)(OH)2","K(Mg,Fe^2+^)Al(Si_4_O_10_)(OH)_2_"
"Aluminocerite-(CeCa)","(Ce6Ca3)[box]Al(SiO4)3(SiO3OH)4(OH)3","(Ce_6_Ca_3_)[box]Al(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_"
"Aluminocopiapite","(Al,Mg)Fe3+4(SO4)6(OH,O)2·20H2O","(Al,Mg)Fe^3+^_4_(SO_4_)_6_(OH,O)_2_·20H_2_O"
"Aluminocoquimbite","Al2Fe2(SO4)6(H2O)12·9H2O","Al_2_Fe_2_(SO_4_)_6_(H_2_O)_12_·9H_2_O"
"Aluminomagnesiohulsite","Mg2AlO2(BO3)","Mg_2_AlO_2_(BO_3_)"
"Alumino-oxy-rossmanite","Al3Al6(Si5AlO18)(BO3)3(OH)3O","Al_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_O"
"Aluminopyracmonite","(NH4)3Al(SO4)3","(NH_4_)_3_Al(SO_4_)_3_"
"Aluminosugilite","KNa2Al2Li3Si12O30","KNa_2_Al_2_Li_3_Si_12_O_30_"
"Aluminotaipingite-(CeCa)","(Ce6Ca3)Al(SiO4)3[SiO3(OH)]4F3","(Ce_6_Ca_3_)Al(SiO_4_)_3_[SiO_3_(OH)]_4_F_3_"
"Alum-(K)","KAl(SO4)2·12H2O","KAl(SO_4_)_2_·12H_2_O"
"Alum-(Na)","NaAl(SO4)2·12H2O","NaAl(SO_4_)_2_·12H_2_O"
"Alumoåkermanite","(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)","(Ca,Na)_2_(Al,Mg,Fe^2+^)(Si_2_O_7_)"
"Alumoedtollite","K2NaCu5AlO2(AsO4)4","K_2_NaCu_5_AlO_2_(AsO_4_)_4_"
"Alumohydrocalcite","CaAl2(CO3)2(OH)4·4H2O","CaAl_2_(CO_3_)_2_(OH)_4_·4H_2_O"
"Alumoklyuchevskite","K3Cu2+3AlO2(SO4)4","K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_"
"Alumolukrahnite","CaCu2+Al(AsO4)2(OH)(H2O)","CaCu^2+^Al(AsO_4_)_2_(OH)(H_2_O)"
"Alumotantite","AlTaO4","AlTaO_4_"
"Alumovesuvianite","Ca19Al(Al10Mg2)Si18O69(OH)9","Ca_19_Al(Al_10_Mg_2_)Si_18_O_69_(OH)_9_"
"Alunite","KAl3(SO4)2(OH)6","KAl_3_(SO_4_)_2_(OH)_6_"
"Alunogen","Al2(SO4)3(H2O)12·5H2O","Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O"
"Alvanite","Zn2+Al4(V5+O3)2(OH)12·2H2O","Zn^2+^Al_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O"
"Alvesite","NaKZrSi6O15·2H2O","NaKZrSi_6_O_15_·2H_2_O"
"Alwilkinsite-(Y)","Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O","Y(UO_2_)_3_(SO_4_)_2_O(OH)_3_(H_2_O)_7_·7H_2_O"
"Amakinite","Fe(OH)2","Fe(OH)_2_"
"Amamoorite","CaMn2+2Mn3+(Si2O7)O(OH)","CaMn^2+^_2_Mn^3+^(Si_2_O_7_)O(OH)"
"Amarantite","Fe3+2O(SO4)2·7H2O","Fe^3+^_2_O(SO_4_)_2_·7H_2_O"
"Amarillite","NaFe3+(SO4)2·6H2O","NaFe^3+^(SO_4_)_2_·6H_2_O"
"Amblygonite","LiAl(PO4)F","LiAl(PO_4_)F"
"Ambrinoite","[K,(NH4)]2(As,Sb)6(Sb,As)2S13·H2O","[K,(NH_4_)]_2_(As,Sb)_6_(Sb,As)_2_S_13_·H_2_O"
"Ameghinite","NaB3O3(OH)4","NaB_3_O_3_(OH)_4_"
"Amesite","Mg2Al(AlSiO5)(OH)4","Mg_2_Al(AlSiO_5_)(OH)_4_"
"Amgaite","Tl3+2Te6+O6","Tl^3+^_2_Te^6+^O_6_"
"Amicite","K2Na2(Al4Si4O16)·5H2O","K_2_Na_2_(Al_4_Si_4_O_16_)·5H_2_O"
"Aminoffite","Ca3(BeOH)2Si3O10","Ca_3_(BeOH)_2_Si_3_O_10_"
"Ammineite","CuCl2·2NH3","CuCl_2_·2NH_3_"
"Ammonioalunite","(NH4)Al3(SO4)2(OH)6","(NH_4_)Al_3_(SO_4_)_2_(OH)_6_"
"Ammonioborite","(NH4)3B15O20(OH)8·4H2O","(NH_4_)_3_B_15_O_20_(OH)_8_·4H_2_O"
"Ammoniojarosite","(NH4)Fe3+3(SO4)2(OH)6","(NH_4_)Fe^3+^_3_(SO_4_)_2_(OH)_6_"
"Ammoniolasalite","[(NH4)2Mg2(H2O)20]·[V10O28]","[(NH_4_)_2_Mg_2_(H_2_O)_20_]·[V_10_O_28_]"
"Ammonioleucite","(NH4)(AlSi2O6)","(NH_4_)(AlSi_2_O_6_)"
"Ammoniomagnesiovoltaite","(NH4)2Mg5Fe3+3Al(SO4)12·18H2O","(NH_4_)_2_Mg_5_Fe^3+^_3_Al(SO_4_)_12_·18H_2_O"
"Ammoniomathesiusite","(NH4)5(UO2)4(SO4)4(VO5)·4H2O","(NH_4_)_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)·4H_2_O"
"Ammoniotinsleyite","(NH4)Al2(PO4)2(OH)·2H2O","(NH_4_)Al_2_(PO_4_)_2_(OH)·2H_2_O"
"Ammoniovoltaite","(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18","(NH_4_)_2_Fe^2+^_5_Fe^3+^_3_Al(SO_4_)_12_(H_2_O)_18_"
"Ammoniozippeite","(NH4)2[(UO2)2(SO4)O2]·H2O","(NH_4_)_2_[(UO_2_)_2_(SO_4_)O_2_]·H_2_O"
"Amoraite","Ca12Al6(OH)36(CO3)2(SO3)·15H2O","Ca_12_Al_6_(OH)_36_(CO_3_)_2_(SO_3_)·15H_2_O"
"Amstallite","CaAl[(Al,Si)4O8(OH)2](OH)2·(H2O,Cl)","CaAl[(Al,Si)_4_O_8_(OH)_2_](OH)_2_·(H_2_O,Cl)"
"Analcime","Na(AlSi2O6)·H2O","Na(AlSi_2_O_6_)·H_2_O"
"Anandite","BaFe2+3(Si3Fe3+)O10S(OH)","BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S(OH)"
"Anapaite","Ca2Fe2+(PO4)2·4H2O","Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O"
"Anastasenkoite","CaFe2+P2O7","CaFe^2+^P_2_O_7_"
"Anatase","TiO2","TiO_2_"
"Anatolyite","Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6","Na_6_(Ca,Na)(Mg,Fe^3+^)_3_Al(AsO_4_)_6_"
"Ancylite-(Ce)","CeSr(CO3)2(OH)·H2O","CeSr(CO_3_)_2_(OH)·H_2_O"
"Ancylite-(La)","LaSr(CO3)2(OH)·H2O","LaSr(CO_3_)_2_(OH)·H_2_O"
"Andalusite","Al2SiO5","Al_2_SiO_5_"
"Andersonite","Na2Ca(UO2)(CO3)3·5-6H2O","Na_2_Ca(UO_2_)(CO_3_)_3_·5-6H_2_O"
"Andradite","Ca3Fe3+2(SiO4)3","Ca_3_Fe^3+^_2_(SiO_4_)_3_"
"Andreadiniite","CuHgAg7Pb7Sb24S48","CuHgAg_7_Pb_7_Sb_24_S_48_"
"Andrémeyerite","BaFe2+2(Si2O7)","BaFe^2+^_2_(Si_2_O_7_)"
"Andreybulakhite","Ni(C2O4)·2H2O","Ni(C_2_O_4_)·2H_2_O"
"Andreyivanovite","FeCrP","FeCrP"
"Andrianovite","Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5","Na_12_(K,Sr,Ce)_3_Ca_6_Mn_3_Zr_3_Nb(Si_25_O_73_)(O,H_2_O,OH)_5_"
"Andrieslombaardite","RhSbS","RhSbS"
"Anduoite","RuAs2","RuAs_2_"
"Andychristyite","PbCu2+Te6+O5(H2O)","PbCu^2+^Te^6+^O_5_(H_2_O)"
"Andymcdonaldite","Fe2TeO6","Fe_2_TeO_6_"
"Andyrobertsite","KCdCu5(AsO4)4[As(OH)2O2]·2H2O","KCdCu_5_(AsO_4_)_4_[As(OH)_2_O_2_]·2H_2_O"
"Angarfite","NaFe3+5(PO4)4(OH)4·4H2O","NaFe^3+^_5_(PO_4_)_4_(OH)_4_·4H_2_O"
"Angastonite","CaMgAl2(PO4)2(OH)4·7H2O","CaMgAl_2_(PO_4_)_2_(OH)_4_·7H_2_O"
"Ángelaite","Cu2AgPbBiS4","Cu_2_AgPbBiS_4_"
"Angelellite","Fe3+4O3(AsO4)2","Fe^3+^_4_O_3_(AsO_4_)_2_"
"Anglesite","Pb(SO4)","Pb(SO_4_)"
"Anhydrite","Ca(SO4)","Ca(SO_4_)"
"Anhydrokainite","KMg(SO4)Cl","KMg(SO_4_)Cl"
"Anilite","Cu7S4","Cu_7_S_4_"
"Ankerite","Ca(Fe2+,Mg)(CO3)2","Ca(Fe^2+^,Mg)(CO_3_)_2_"
"Ankinovichite","NiAl4(V5+O3)2(OH)12·2H2O","NiAl_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O"
"Annabergite","Ni3(AsO4)2·8H2O","Ni_3_(AsO_4_)_2_·8H_2_O"
"Annite","KFe2+3(AlSi3O10)(OH)2","KFe^2+^_3_(AlSi_3_O_10_)(OH)_2_"
"Anorpiment","As2S3","As_2_S_3_"
"Anorthite","Ca(Al2Si2O8)","Ca(Al_2_Si_2_O_8_)"
"Anorthominasragrite","V4+O(SO4)·5H2O","V^4+^O(SO_4_)·5H_2_O"
"Anorthoroselite","Ca2Co(AsO4)2·2H2O","Ca_2_Co(AsO_4_)_2_·2H_2_O"
"Anorthoyttrialite-(Y)","Y4(SiO4)(Si3O10)","Y_4_(SiO_4_)(Si_3_O_10_)"
"Ansermetite","Mn2+V5+2O6·4H2O","Mn^2+^V^5+^_2_O_6_·4H_2_O"
"Antarcticite","CaCl2·6H2O","CaCl_2_·6H_2_O"
"Anthoinite","AlWO3(OH)3","AlWO_3_(OH)_3_"
"Anthonyite","Cu(OH)2·3H2O","Cu(OH)_2_·3H_2_O"
"Anthophyllite","[box]Mg2Mg5Si8O22(OH)2","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_"
"Antigorite","Mg3Si2O5(OH)4","Mg_3_Si_2_O_5_(OH)_4_"
"Antimonselite","Sb2Se3","Sb_2_Se_3_"
"Antimony","Sb","Sb"
"Antipinite","KNa3Cu2(C2O4)4","KNa_3_Cu_2_(C_2_O_4_)_4_"
"Antipovite","Cu5O2(PO4)2","Cu_5_O_2_(PO_4_)_2_"
"Antlerite","Cu2+3(SO4)(OH)4","Cu^2+^_3_(SO_4_)(OH)_4_"
"Antofagastaite","Na2Ca(SO4)2·1.5H2O","Na_2_Ca(SO_4_)_2_·1.5H_2_O"
"Anyuiite","AuPb2","AuPb_2_"
"Anzaite-(Ce)","Ce4Fe2+Ti6O18(OH)2","Ce_4_Fe^2+^Ti_6_O_18_(OH)_2_"
"Apachite","Cu2+9Si10O29·11H2O","Cu^2+^_9_Si_10_O_29_·11H_2_O"
"Apexite","NaMg(PO4)·9H2O","NaMg(PO_4_)·9H_2_O"
"Aphthitalite","K3Na(SO4)2","K_3_Na(SO_4_)_2_"
"Apjohnite","Mn2+Al2(SO4)4·22H2O","Mn^2+^Al_2_(SO_4_)_4_·22H_2_O"
"Aplowite","Co(SO4)·4H2O","Co(SO_4_)·4H_2_O"
"Apuanite","(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S","(Fe^2+^Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_4_)O_12_S"
"Aqualite","(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl","(H_3_O)_8_(Na,K,Sr)_5_Ca_6_Zr_3_Si_26_O_66_(OH)_9_Cl"
