"Mineral Name","IMA Chemistry (plain)","IMA Chemistry (concise)"
"Maneckiite","(Na[box])Ca2Fe2+2(Fe3+Mg)Mn2(PO4)6·2H2O","(Na[box])Ca_2_Fe^2+^_2_(Fe^3+^Mg)Mn_2_(PO_4_)_6_·2H_2_O"
"Manganarsite","Mn2+3As3+2O4(OH)4","Mn^2+^_3_As^3+^_2_O_4_(OH)_4_"
"Manganbabingtonite","Ca2Mn2+Fe3+Si5O14(OH)","Ca_2_Mn^2+^Fe^3+^Si_5_O_14_(OH)"
"Manganbelyankinite","Mn2+(Ti,Nb)5O12·9H2O","Mn^2+^(Ti,Nb)_5_O_12_·9H_2_O"
"Manganberzeliite","(NaCa2)Mn2+2(AsO4)3","(NaCa_2_)Mn^2+^_2_(AsO_4_)_3_"
"Manganflurlite","ZnMn2+3Fe3+(PO4)3(OH)2(H2O)7·2H2O","ZnMn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O"
"Mangangordonite","Mn2+Al2(PO4)2(OH)2·8H2O","Mn^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O"
"Manganhumite","Mn2+7(SiO4)3(OH)2","Mn^2+^_7_(SiO_4_)_3_(OH)_2_"
"Manganiakasakaite-(La)","CaLa(Mn3+AlMn2+)(Si2O7)(SiO4)O(OH)","CaLa(Mn^3+^AlMn^2+^)(Si_2_O_7_)(SiO_4_)O(OH)"
"Manganiandrosite-(Ce)","MnCe(Mn3+AlMn2+)[Si2O7][SiO4]O(OH)","MnCe(Mn^3+^AlMn^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Manganiandrosite-(La)","MnLa(Mn3+AlMn2+)[Si2O7][SiO4]O(OH)","MnLa(Mn^3+^AlMn^2+^)[Si_2_O_7_][SiO_4_]O(OH)"
"Manganiceladonite","KMgMn3+Si4O10(OH)2","KMgMn^3+^Si_4_O_10_(OH)_2_"
